0.625000 0.075000	2.64862e-06
0.650000 0.075000	4.02016e-06
0.675000 0.075000	5.87189e-06
0.700000 0.075000	8.28929e-06
0.725000 0.075000	1.13669e-05
0.750000 0.075000	1.52004e-05
0.775000 0.075000	1.98676e-05
0.800000 0.075000	2.53831e-05
0.825000 0.075000	3.15873e-05
0.850000 0.075000	3.78544e-05
0.875000 0.075000	4.22861e-05
0.900000 0.075000	4.26146e-05
0.925000 0.075000	3.79883e-05
0.950000 0.075000	2.83768e-05
0.975000 0.075000	1.51174e-05
1.000000 0.075000	0

0.000000 0.100000	0
0.025000 0.100000	1.91313e-05
0.050000 0.100000	3.84822e-05
0.075000 0.100000	5.53743e-05
0.100000 0.100000	6.42204e-05
0.125000 0.100000	6.53226e-05
0.150000 0.100000	5.89549e-05
0.175000 0.100000	4.90066e-05
0.200000 0.100000	4.04254e-05
0.225000 0.100000	3.30452e-05
0.250000 0.100000	2.67385e-05
0.275000 0.100000	2.13862e-05
0.300000 0.100000	1.68754e-05
0.325000 0.100000	1.31015e-05
0.350000 0.100000	9.96985e-06
0.375000 0.100000	7.39721e-06
0.400000 0.100000	5.31212e-06
0.425000 0.100000	3.65548e-06
0.450000 0.100000	2.3809e-06
0.475000 0.100000	1.45517e-06
0.500000 0.100000	8.58796e-07
0.525000 0.100000	5.86692e-07
0.550000 0.100000	6.48919e-07
0.575000 0.100000	1.07154e-06
0.600000 0.100000	1.89746e-06
0.625000 0.100000	3.18739e-06
0.650000 0.100000	5.02065e-06
0.675000 0.100000	7.49612e-06
0.700000 0.100000	1.0733e-05
0.725000 0.100000	1.4871e-05
0.750000 0.100000	2.00704e-05
0.775000 0.100000	2.65081e-05
0.800000 0.100000	3.43687e-05
0.825000 0.100000	4.38108e-05
0.850000 0.100000	5.48422e-05
0.875000 0.100000	6.36167e-05
0.900000 0.100000	6.48374e-05
0.925000 0.100000	5.80381e-05
0.950000 0.100000	4.26808e-05
0.975000 0.100000	2.1878e-05
1.000000 0.100000	0

0.000000 0.125000	0
0.025000 0.125000	2.51841e-05
0.050000 0.125000	5.20325e-05
0.075000 0.125000	7.50773e-05
0.100000 0.125000	8.65173e-05
0.125000 0.125000	8.709e-05
0.150000 0.125000	7.6318e-05
0.175000 0.125000	6.19525e-05
0.200000 0.125000	5.04095e-05
0.225000 0.125000	4.08527e-05
0.250000 0.125000	3.28497e-05
0.275000 0.125000	2.61288e-05
0.300000 0.125000	2.04926e-05
0.325000 0.125000	1.57855e-05
